Time;Day_of_week;Sex_of_driver;Educational_level;Vehicle_driver_relation;Driving_experience;Type_of_vehicle;Owner_of_vehicle;Service_year_of_vehicle;Defect_of_vehicle;Area_accident_occured;Lanes_or_Medians;Road_allignment;Types_of_Junction;Road_surface_type;Road_surface_conditions;Light_conditions;Weather_conditions;Type_of_collision;Number_of_vehicles_involved;Number_of_casualties;Vehicle_movement;Age_band_of_casualty;Pedestrian_movement;Cause_of_accident;Accident_severity
06:00:00;Tuesday;Male;Junior high school;Employee;Above 10yr;Lorry (11?40Q);Owner;Unknown;unknown;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
06:00:00;Tuesday;Male;Junior high school;Employee;Above 10yr;Pick up upto 10Q;Governmental;2-5yrs;unknown;  Recreational areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Parked;na;Not a Pedestrian;No distancing;Slight Injury
19:40:00;Thursday;Male;Junior high school;Employee;5-10yr;Automobile;Owner;1-2yr;No defect;Other;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Vehicle with vehicle collision;1;1;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
14:29:00;Wednesday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;Under 18;Not a Pedestrian;Overturning;Slight Injury
14:29:00;Wednesday;Male;Junior high school;Employee;Below 1yr;Automobile;Owner;Unknown;No defect;Other;other;Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;na;Not a Pedestrian;Driving at high speed;Slight Injury
14:29:00;Wednesday;Male;Junior high school;Employee;Below 1yr;Long lorry;Owner;Unknown;unknown;Other;other;Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
16:40:00;Tuesday;Male;Junior high school;Employee;2-5yr;Long lorry;Owner;5-10yrs;unknown;Other;One way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Going straight;Under 18;Not a Pedestrian;No priority to pedestrian;Slight Injury
16:40:00;Tuesday;Male;Elementary school;Employee;Below 1yr;Automobile;Owner;Unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Going straight;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
16:40:00;Tuesday;Male;Junior high school;Employee;Below 1yr;Stationwagen;Owner;2-5yrs;No defect;Other;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Turnover;Under 18;Not a Pedestrian;Other;Slight Injury
19:02:00;Thursday;Male;Junior high school;Employee;unknown;unknown;Owner;Unknown;No defect;School areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;Going straight;18-30;Unknown or other;Other;Slight Injury
13:33:00;Thursday;Male;unknown;Employee;5-10yr;Other;Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;Moving Backward;Serious Injury
13:33:00;Thursday;Male;Writing & reading;Employee;Below 1yr;Special vehicle;Owner;Unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Unknown;31-50;Not a Pedestrian;No distancing;Serious Injury
11:30:00;Tuesday;Male;Junior high school;Employee;Below 1yr;Lorry (41?100Q);Owner;5-10yrs;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Moving Backward;na;Not a Pedestrian;Moving Backward;Slight Injury
08:45:00;Friday;Male;Junior high school;Employee;1-2yr;Pick up upto 10Q;Owner;Unknown;No defect;School areas;unknown;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;3;2;Going straight;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
08:45:00;Friday;Male;Elementary school;Employee;Above 10yr;Lorry (11?40Q);Governmental;unknown;No defect;School areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;3;2;Moving Backward;na;Not a Pedestrian;Driving carelessly;Slight Injury
08:45:00;Friday;Male;Elementary school;Employee;Above 10yr;Lorry (41?100Q);Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Normal;Vehicle with vehicle collision;3;2;Turnover;na;Not a Pedestrian;No distancing;Slight Injury
17:50:00;Wednesday;Male;Elementary school;Employee;Below 1yr;Motorcycle;Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;3;3;Going straight;18-30;Not a Pedestrian;Other;Slight Injury
17:50:00;Wednesday;Male;High school;Employee;2-5yr;Automobile;Governmental;Above 10yr;No defect;School areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;3;Going straight;Under 18;Not a Pedestrian;Changing lane to the right;Slight Injury
17:50:00;Wednesday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;1-2yr;No defect;unknown;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;3;Unknown;Under 18;Not a Pedestrian;No distancing;Slight Injury
09:45:00;Friday;Male;Above high school;Employee;Above 10yr;Automobile;Owner;Above 10yr;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
09:45:00;Friday;Male;Junior high school;Employee;2-5yr;Stationwagen;Owner;Below 1yr;No defect;Other;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
09:50:00;Tuesday;Male;Junior high school;Employee;2-5yr;unknown;Owner;Above 10yr;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with pedestrians;3;3;Going straight;31-50;Not a Pedestrian;No priority to vehicle;Slight Injury
09:50:00;Tuesday;Male;High school;Employee;1-2yr;Public (> 45 seats);Owner;Unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;3;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
09:50:00;Tuesday;Male;Junior high school;Employee;5-10yr;Public (> 45 seats);Governmental;1-2yr;No defect;Other;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;3;Reversing;Under 18;Not a Pedestrian;No priority to pedestrian;Slight Injury
09:50:00;Tuesday;Male;Junior high school;Employee;Below 1yr;Stationwagen;Owner;1-2yr;No defect;Other;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;3;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
18:40:00;Thursday;Male;Junior high school;Employee;Below 1yr;Automobile;Owner;unknown;No defect; Industrial areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;Over 51;Not a Pedestrian;Changing lane to the left;Slight Injury
18:44:00;Tuesday;Male;Elementary school;Employee;unknown;Bicycle;Owner;unknown;No defect;  Recreational areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Daylight;Windy;Vehicle with vehicle collision;1;1;Going straight;18-30;Not a Pedestrian;Turnover;Slight Injury
19:33:00;Sunday;Male;Junior high school;Employee;Below 1yr;Automobile;Owner;Above 10yr;No defect; Church areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;1;Turnover;na;Not a Pedestrian;Driving to the left;Serious Injury
19:33:00;Sunday;Male;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;unknown;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;1;Reversing;Over 51;Not a Pedestrian;Driving carelessly;Serious Injury
19:33:00;Sunday;Male;Elementary school;Employee;2-5yr;Automobile;Owner;unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;3;1;Going straight;Over 51;Not a Pedestrian;Driving to the left;Serious Injury
12:25:00;Thursday;Male;High school;Employee;1-2yr;Public (13?45 seats);Owner;unknown;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with pedestrians;2;1;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
12:25:00;Thursday;Male;Junior high school;Employee;5-10yr;Special vehicle;Owner;unknown;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Turnover;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
19:00:00;Thursday;Male;Junior high school;Employee;Below 1yr;Automobile;Owner;unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Moving Backward;na;Not a Pedestrian;Driving carelessly;Slight Injury
19:00:00;Thursday;Male;High school;Employee;Above 10yr;Public (13?45 seats);Owner;Above 10yr;unknown;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
20:00:00;Friday;Female;Elementary school;Owner;5-10yr;unknown;Owner;Above 10yr;unknown;Office areas;other;Tangent road with mountainous terrain and;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;3;Going straight;na;Not a Pedestrian;Moving Backward;Serious Injury
20:00:00;Friday;Female;Elementary school;Employee;Below 1yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;1;3;Going straight;31-50;Not a Pedestrian;Driving carelessly;Serious Injury
20:00:00;Friday;Female;Junior high school;Employee;5-10yr;Lorry (41?100Q);unknown;unknown;unknown;School areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;3;Reversing;Under 18;Not a Pedestrian;Changing lane to the right;Serious Injury
13:50:00;Sunday;Male;Elementary school;Owner;5-10yr;Public (12 seats);Owner;Above 10yr;No defect;Office areas;Two-way (divided with broken lines road marking);Sharp reverse curve;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;Driving carelessly;Serious Injury
12:05:00;Friday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;5-10yrs;No defect;Other;other;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;4;Going straight;31-50;Not a Pedestrian;Driving carelessly;Slight Injury
12:05:00;Friday;Male;Junior high school;Employee;Above 10yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Other;Undivided Two way;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;4;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
12:05:00;Friday;Male;Junior high school;Employee;5-10yr;Public (12 seats);Owner;Above 10yr;No defect; Church areas;other;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;4;Parked;Over 51;Not a Pedestrian;Changing lane to the right;Slight Injury
12:05:00;Friday;Unknown;High school;Employee;1-2yr;Public (> 45 seats);Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;4;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
17:05:00;Wednesday;Male;Elementary school;Employee;5-10yr;Automobile;Owner;unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Windy;Vehicle with vehicle collision;2;1;Going straight;Over 51;Unknown or other;Driving carelessly;Serious Injury
17:05:00;Wednesday;Male;Elementary school;Employee;2-5yr;Pick up upto 10Q;Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with mild grade and flat terrain;Y Shape;Asphalt roads;Wet or damp;Daylight;Windy;Collision with roadside objects;2;1;Unknown;na;Not a Pedestrian;Overtaking;Serious Injury
20:40:00;Saturday;Male;Junior high school;Employee;Below 1yr;Stationwagen;Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;Changing lane to the right;Slight Injury
20:40:00;Saturday;Male;Junior high school;Employee;Below 1yr;Other;Owner;Above 10yr;No defect;Office areas;Two-way (divided with broken lines road marking);Sharp reverse curve;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
19:08:00;Thursday;Male;Junior high school;Employee;5-10yr;unknown;Owner;Above 10yr;No defect; Church areas;Undivided Two way;Sharp reverse curve;Y Shape;Asphalt roads;Dry;Daylight;Unknown;Vehicle with vehicle collision;1;1;Stopping;na;Not a Pedestrian;Other;Serious Injury
19:16:00;Tuesday;Male;Junior high school;Owner;5-10yr;Automobile;Owner;Above 10yr;No defect;Office areas;Undivided Two way;Gentle horizontal curve;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Under 18;Unknown or other;Changing lane to the right;Slight Injury
19:16:00;Tuesday;Male;Elementary school;Employee;1-2yr;Stationwagen;Owner;5-10yrs;No defect;Other;Double carriageway (median);Gentle horizontal curve;No junction;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Overtaking;na;Not a Pedestrian;Changing lane to the right;Slight Injury
09:55:00;Monday;Male;Junior high school;Employee;unknown;Pick up upto 10Q;Owner;unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Going straight;31-50;Not a Pedestrian;Overtaking;Slight Injury
09:55:00;Monday;Male;Elementary school;Employee;Above 10yr;Lorry (41?100Q);Owner;5-10yrs;No defect; Church areas;Unknown;Tangent road with mountainous terrain and;No junction;Asphalt roads with some distress;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Reversing;na;Not a Pedestrian;Other;Slight Injury
19:00:00;Thursday;Male;Junior high school;Owner;1-2yr;Automobile;Owner;1-2yr;unknown;School areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;1;1;Going straight;31-50;Not a Pedestrian;Driving to the left;Slight Injury
10:31:00;Sunday;Male;unknown;unknown;unknown;unknown;unknown;unknown;unknown; Church areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Overtaking;Slight Injury
10:31:00;Sunday;Male;Junior high school;Employee;Above 10yr;Lorry (41?100Q);Owner;Above 10yr;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Unknown;na;Not a Pedestrian;No priority to vehicle;Slight Injury
12:37:00;Sunday;Unknown;Elementary school;Owner;2-5yr;Lorry (41?100Q);Owner;2-5yrs;No defect;Other;other;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Going straight;Under 18;Not a Pedestrian;Moving Backward;Serious Injury
12:37:00;Sunday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Owner;Above 10yr;unknown; Church areas;Two-way (divided with broken lines road marking);Steep grade upward with mountainous terrain;Unknown;Gravel roads;Dry;Daylight;Normal;Collision with roadside objects;2;3;Moving Backward;Over 51;Not a Pedestrian;Other;Serious Injury
12:37:00;Sunday;Male;Junior high school;Employee;Below 1yr;Pick up upto 10Q;Governmental;1-2yr;No defect;Other;Double carriageway (median);Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;3;Going straight;na;Not a Pedestrian;No priority to vehicle;Serious Injury
14:51:00;Sunday;Male;Junior high school;Employee;5-10yr;Pick up upto 10Q;Governmental;Above 10yr;unknown;Other;Double carriageway (median);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Moving Backward;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
14:51:00;Sunday;Male;High school;Employee;Above 10yr;Automobile;Organization;5-10yrs;No defect;Office areas;Two-way (divided with broken lines road marking);Gentle horizontal curve;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Going straight;Over 51;Not a Pedestrian;Changing lane to the right;Slight Injury
14:51:00;Sunday;Male;Junior high school;Employee;5-10yr;Other;Organization;Above 10yr;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;2;Going straight;Under 18;Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle;Changing lane to the right;Slight Injury
07:50:00;Friday;Male;Elementary school;Employee;1-2yr;unknown;Owner;2-5yrs;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Unknown;na;Not a Pedestrian;Changing lane to the right;Slight Injury
07:50:00;Friday;Male;Junior high school;Employee;unknown;Automobile;Governmental;unknown;No defect;Residential areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Driving to the left;Slight Injury
20:39:00;Saturday;Male;Elementary school;Employee;1-2yr;Motorcycle;Owner;2-5yrs;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;3;2;Going straight;31-50;Not a Pedestrian;Changing lane to the left;Slight Injury
20:39:00;Saturday;Male;Junior high school;Owner;1-2yr;Automobile;Owner;2-5yrs;No defect; Church areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;3;2;Going straight;Under 18;In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing);Moving Backward;Slight Injury
20:39:00;Saturday;Male;Above high school;Owner;1-2yr;Automobile;Owner;1-2yr;No defect;unknown;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;3;2;Turnover;Under 18;In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing);Driving at high speed;Slight Injury
20:39:00;Saturday;Male;Junior high school;Owner;5-10yr;Public (12 seats);Owner;Above 10yr;unknown;  Market areas;other;Steep grade downward with mountainous terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;3;2;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
11:10:00;Tuesday;Male;Above high school;Employee;1-2yr;Automobile;Owner;Above 10yr;No defect;Residential areas;unknown;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;2;1;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
11:10:00;Tuesday;Male;Junior high school;Employee;Above 10yr;Public (> 45 seats);Owner;5-10yrs;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Other;Slight Injury
17:19:00;Friday;Male;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;unknown;No defect;  Recreational areas;other;unknown;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Reversing;31-50;Not a Pedestrian;No priority to vehicle;Slight Injury
17:19:00;Friday;Male;Junior high school;Employee;5-10yr;Public (> 45 seats);Governmental;unknown;No defect;Office areas;other;Tangent road with mild grade and flat terrain;No junction;Earth roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Getting off;na;Not a Pedestrian;Changing lane to the right;Slight Injury
16:56:00;Wednesday;Unknown;Junior high school;Employee;2-5yr;unknown;Owner;5-10yrs;No defect; Industrial areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Under 18;Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle;Other;Serious Injury
16:56:00;Wednesday;Male;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;Y Shape;unknown;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Getting off;18-30;Not a Pedestrian;No distancing;Serious Injury
01:02:00;Sunday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;unknown;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;1;1;Going straight;Under 18;Not a Pedestrian;Driving carelessly;Serious Injury
07:46:00;Saturday;Male;Junior high school;Employee;2-5yr;Automobile;Governmental;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;No distancing;Slight Injury
07:46:00;Saturday;Male;Junior high school;Employee;Above 10yr;Lorry (41?100Q);Owner;1-2yr;No defect; Industrial areas;other;Tangent road with flat terrain;Crossing;Earth roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;2;1;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
08:00:00;Wednesday;Male;Junior high school;Employee;1-2yr;Automobile;Owner;2-5yrs;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Daylight;Normal;Collision with roadside-parked vehicles;3;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
08:00:00;Wednesday;Male;Above high school;Owner;1-2yr;Public (13?45 seats);Owner;Unknown;No defect;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Daylight;Normal;Collision with animals;3;1;Going straight;18-30;Not a Pedestrian;Moving Backward;Slight Injury
08:00:00;Wednesday;Male;Above high school;Employee;No Licence;Automobile;Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Earth roads;Wet or damp;Daylight;Normal;Collision with animals;3;1;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
18:46:00;Saturday;Female;Junior high school;Employee;1-2yr;Public (> 45 seats);Owner;2-5yrs;No defect;Office areas;Double carriageway (median);Escarpments;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with animals;1;1;Going straight;na;Not a Pedestrian;Changing lane to the left;Slight Injury
18:42:00;Thursday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Office areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with animals;1;1;Going straight;18-30;Not a Pedestrian;No distancing;Slight Injury
08:45:00;Sunday;Male;Junior high school;Employee;Above 10yr;Automobile;Owner;1-2yr;No defect;Office areas;Undivided Two way;Escarpments;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Going straight;Under 18;Not a Pedestrian;Other;Serious Injury
08:45:00;Sunday;Male;Junior high school;Employee;Above 10yr;Lorry (11?40Q);Owner;unknown;No defect;Office areas;One way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Moving Backward;Under 18;Not a Pedestrian;No distancing;Serious Injury
21:40:00;Thursday;Male;Junior high school;Owner;5-10yr;Public (13?45 seats);Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
21:40:00;Thursday;Male;Elementary school;Employee;2-5yr;Public (13?45 seats);Owner;unknown;No defect;Office areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
18:50:00;Thursday;Male;Junior high school;Employee;2-5yr;unknown;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Unknown;Collision with animals;2;1;Going straight;18-30;Not a Pedestrian;No priority to pedestrian;Slight Injury
18:50:00;Thursday;Male;Junior high school;Employee;Below 1yr;Long lorry;Owner;5-10yrs;No defect;Residential areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Unknown;Collision with animals;2;1;Going straight;Over 51;Not a Pedestrian;No distancing;Slight Injury
21:55:00;Saturday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;unknown;No defect;Other;One way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;18-30;Not a Pedestrian;No priority to pedestrian;Slight Injury
21:55:00;Saturday;Male;Junior high school;Employee;2-5yr;Lorry (11?40Q);Owner;5-10yrs;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
17:45:00;Friday;Male;Elementary school;Employee;5-10yr;Lorry (41?100Q);Owner;unknown;No defect;  Recreational areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Wet or damp;Daylight;Raining;Other;2;1;Going straight;na;Not a Pedestrian;Overtaking;Slight Injury
